epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,578.408,0.72794,0.76772,1.23725,0.93926,0.92568,0.96408,0.86002,0.52302,0.35907,1.00469,0.001703,0.001703,0.001703
17,1152.15,0.72682,0.76349,1.23958,0.93169,0.93701,0.96666,0.86014,0.52152,0.35668,1.00575,0.0016832,0.0016832,0.0016832
18,1726.18,0.72301,0.75364,1.23608,0.94735,0.93188,0.96603,0.86895,0.49201,0.3372,0.98545,0.0016634,0.0016634,0.0016634
19,2299.28,0.70951,0.74223,1.22497,0.94821,0.93499,0.97018,0.8665,0.52257,0.34352,1.01495,0.0016436,0.0016436,0.0016436
20,2872.49,0.7026,0.73265,1.21949,0.95106,0.93024,0.9679,0.87055,0.50647,0.34044,0.99141,0.0016238,0.0016238,0.0016238
21,3446.87,0.69696,0.72488,1.21783,0.9483,0.93858,0.96979,0.87171,0.50316,0.33212,0.99044,0.001604,0.001604,0.001604
22,4021.18,0.69268,0.71577,1.21369,0.95634,0.92451,0.96831,0.8714,0.49873,0.32662,0.99004,0.0015842,0.0015842,0.0015842
23,4595.23,0.68263,0.71353,1.20621,0.95409,0.93139,0.96942,0.8754,0.48931,0.32178,0.97853,0.0015644,0.0015644,0.0015644
24,5167.74,0.68266,0.70821,1.20678,0.9525,0.93814,0.9712,0.87818,0.47816,0.31552,0.97063,0.0015446,0.0015446,0.0015446
25,5740.69,0.67646,0.69372,1.20175,0.95329,0.93104,0.97079,0.88128,0.47033,0.31603,0.96535,0.0015248,0.0015248,0.0015248
26,6314.9,0.66736,0.68342,1.19732,0.9525,0.93657,0.9725,0.88787,0.46083,0.30459,0.95542,0.001505,0.001505,0.001505
27,6887.31,0.665,0.67458,1.19319,0.95736,0.93853,0.97285,0.88843,0.45324,0.30099,0.95188,0.0014852,0.0014852,0.0014852
28,7461.07,0.66131,0.68089,1.19034,0.95508,0.94034,0.97277,0.89011,0.44788,0.29652,0.94574,0.0014654,0.0014654,0.0014654
29,8035.24,0.65935,0.67286,1.19112,0.95237,0.943,0.97349,0.8918,0.44745,0.29678,0.94428,0.0014456,0.0014456,0.0014456
30,8609.02,0.65316,0.66462,1.18734,0.95137,0.93789,0.97342,0.88984,0.4499,0.29965,0.94635,0.0014258,0.0014258,0.0014258
31,9184.63,0.6509,0.65575,1.18498,0.94559,0.94419,0.97317,0.88981,0.44798,0.29784,0.94438,0.001406,0.001406,0.001406
32,9757.27,0.64574,0.6552,1.18185,0.95568,0.93922,0.97337,0.89091,0.44464,0.29334,0.9413,0.0013862,0.0013862,0.0013862
33,10331.4,0.64204,0.65365,1.17966,0.96174,0.93376,0.97317,0.89253,0.44053,0.2909,0.9371,0.0013664,0.0013664,0.0013664
34,10904.9,0.64464,0.65107,1.18032,0.95416,0.94059,0.97346,0.89348,0.43857,0.28866,0.93476,0.0013466,0.0013466,0.0013466
35,11479.6,0.63778,0.6414,1.17384,0.94797,0.9458,0.97335,0.894,0.43872,0.2884,0.93272,0.0013268,0.0013268,0.0013268
